identifier	cluster
1929-1965_leilighet_1011	0
1929-1965_leilighet_184	1
1929-1965_leilighet_1374	1
1929-1965_leilighet_1196	1
1929-1965_leilighet_970	1
1929-1965_leilighet_1069	1
1929-1965_leilighet_1299	1
1929-1965_leilighet_1391	1
1929-1965_leilighet_454	1
1929-1965_leilighet_270	1
1929-1965_leilighet_661	0
1970-2015_leilighet_532	0
1970-2015_leilighet_1706	0
1970-2015_leilighet_1041	0
1970-2015_leilighet_2155	0
1970-2015_leilighet_2513	0
1970-2015_leilighet_3022	0
1970-2015_leilighet_200	0
1970-2015_leilighet_1226	0
1970-2015_leilighet_363	0
1970-2015_leilighet_2911	0
1970-2015_leilighet_1779	0
