identifier	cluster
1929-1965_frakk_306	0
1929-1965_frakk_83	0
1929-1965_frakk_290	0
1929-1965_frakk_187	0
1929-1965_frakk_308	0
1929-1965_frakk_280	0
1929-1965_frakk_126	0
1929-1965_frakk_180	0
1929-1965_frakk_339	0
1929-1965_frakk_212	0
1929-1965_frakk_136	0
1970-2015_frakk_21	0
1970-2015_frakk_16	0
1970-2015_frakk_5	0
1970-2015_frakk_26	0
1970-2015_frakk_3	0
1970-2015_frakk_15	0
1970-2015_frakk_25	0
1970-2015_frakk_22	0
1970-2015_frakk_1	0
1970-2015_frakk_23	0
1970-2015_frakk_19	0
