identifier	cluster
1929-1965_gress_415	0
1929-1965_gress_128	0
1929-1965_gress_342	0
1929-1965_gress_378	0
1929-1965_gress_438	0
1929-1965_gress_243	0
1929-1965_gress_399	0
1929-1965_gress_388	0
1929-1965_gress_51	0
1929-1965_gress_141	0
1929-1965_gress_225	0
1970-2015_gress_171	0
1970-2015_gress_29	0
1970-2015_gress_98	0
1970-2015_gress_172	0
1970-2015_gress_182	0
1970-2015_gress_19	0
1970-2015_gress_164	0
1970-2015_gress_20	0
1970-2015_gress_2	0
1970-2015_gress_8	0
1970-2015_gress_222	0
