identifier	cluster
1929-1965_forhold_2998	0
1929-1965_forhold_12989	0
1929-1965_forhold_4129	0
1929-1965_forhold_9012	0
1929-1965_forhold_8037	2
1929-1965_forhold_9629	0
1929-1965_forhold_2167	0
1929-1965_forhold_2974	0
1929-1965_forhold_12552	3
1929-1965_forhold_12929	2
1929-1965_forhold_8193	0
1970-2015_forhold_142014	2
1970-2015_forhold_26572	0
1970-2015_forhold_172868	1
1970-2015_forhold_40960	1
1970-2015_forhold_111903	0
1970-2015_forhold_104934	1
1970-2015_forhold_187467	1
1970-2015_forhold_200774	2
1970-2015_forhold_194915	0
1970-2015_forhold_166772	0
1970-2015_forhold_172173	0
