identifier	cluster
1929-1965_linse_184	0
1929-1965_linse_247	1
1929-1965_linse_100	1
1929-1965_linse_29	1
1929-1965_linse_51	-1
1929-1965_linse_52	-1
1929-1965_linse_241	-1
1929-1965_linse_163	0
1929-1965_linse_94	1
1929-1965_linse_107	1
1929-1965_linse_77	1
1970-2015_linse_69	1
1970-2015_linse_42	1
1970-2015_linse_10	0
1970-2015_linse_28	0
1970-2015_linse_31	0
1970-2015_linse_16	0
1970-2015_linse_4	0
1970-2015_linse_75	0
1970-2015_linse_14	0
1970-2015_linse_5	0
1970-2015_linse_90	1
