identifier	cluster
1929-1965_kjemi_267	0
1929-1965_kjemi_254	0
1929-1965_kjemi_302	0
1929-1965_kjemi_257	0
1929-1965_kjemi_0	0
1929-1965_kjemi_106	0
1929-1965_kjemi_190	0
1929-1965_kjemi_222	0
1929-1965_kjemi_247	0
1929-1965_kjemi_289	0
1929-1965_kjemi_135	0
1970-2015_kjemi_646	0
1970-2015_kjemi_438	0
1970-2015_kjemi_870	0
1970-2015_kjemi_206	0
1970-2015_kjemi_617	0
1970-2015_kjemi_642	0
1970-2015_kjemi_263	0
1970-2015_kjemi_621	0
1970-2015_kjemi_97	0
1970-2015_kjemi_575	0
1970-2015_kjemi_440	0
