identifier	cluster
1929-1965_stoff_1525	0
1970-2015_stoff_10940	0
1929-1965_stoff_1317	0
1929-1965_stoff_1230	0
1970-2015_stoff_4953	0
1970-2015_stoff_2433	0
1970-2015_stoff_3262	0
1970-2015_stoff_2604	0
1929-1965_stoff_1528	0
1929-1965_stoff_1584	0
1970-2015_stoff_10200	1
1970-2015_stoff_6079	1
1970-2015_stoff_2545	1
1929-1965_stoff_1443	1
1970-2015_stoff_6542	1
1970-2015_stoff_12954	1
1929-1965_stoff_1389	1
1970-2015_stoff_10652	1
1929-1965_stoff_781	1
1929-1965_stoff_104	2
1929-1965_stoff_822	2
