lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE	note
anfektelse	1929-1965_1970-2015	21	10	11	[17, 4]	[10, 0]	[7, 4]	[0.81, 0.19]	[1.0, 0.0]	[0.636, 0.364]	1	1	0	0.45957402378585516	1	3	1	3	3.7435897435897436	2.7596153846153846	3.0202020202020203	
bit	1929-1965_1970-2015	14	3	11	[10, 4]	[3, 0]	[7, 4]	[0.714, 0.286]	[1.0, 0.0]	[0.636, 0.364]	1	1	0	0.45957402378585516	1	3	1	3	4.0	2.309090909090909	2.409090909090909	
bølge	1929-1965_1970-2015	22	11	11	[11, 4, 3, 1, 1, 1, 1]	[6, 1, 0, 1, 1, 1, 1]	[5, 3, 3, 0, 0, 0, 0]	[0.5, 0.182, 0.136, 0.045, 0.045, 0.045, 0.045]	[0.545, 0.091, 0.0, 0.091, 0.091, 0.091, 0.091]	[0.455, 0.273, 0.273, 0.0, 0.0, 0.0, 0.0]	1	1	0	0.596221251485971	1	3	1	3	2.388888888888889	2.5208333333333335	2.3476190476190477	
damp	1929-1965_1970-2015	22	11	11	[16, 2, 2, 2]	[6, 2, 2, 1]	[10, 0, 0, 1]	[0.727, 0.091, 0.091, 0.091]	[0.545, 0.182, 0.182, 0.091]	[0.909, 0.0, 0.0, 0.091]	0	0	0	0.46363465010916044	1	3	1	3	2.316326530612245	3.6914893617021276	2.7475728155339807	questionable
data	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.9583333333333335	3.9270833333333335	3.8932038834951457	
egg	1929-1965_1970-2015	20	10	10	[18, 2]	[9, 1]	[9, 1]	[0.9, 0.1]	[0.9, 0.1]	[0.9, 0.1]	0	0	0	0.0	1	3	1	3	3.1625	3.054054054054054	3.3493975903614457	
etterforskning	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0	
fag	1929-1965_1970-2015	22	11	11	[21, 1]	[10, 1]	[11, 0]	[0.955, 0.045]	[0.909, 0.091]	[1.0, 0.0]	0	0	0	0.2168328719135303	1	3	1	3	3.3958333333333335	4.0	3.655	
fil	1929-1965_1970-2015	10	3	7	[6, 4]	[0, 3]	[6, 1]	[0.6, 0.4]	[0.0, 1.0]	[0.857, 0.143]	1	1	1	0.8302961801327811	1	3	1	3	4.0	3.119047619047619	1.4285714285714286	questionable
forhold	1929-1965_1970-2015	22	11	11	[13, 4, 4, 1]	[8, 0, 2, 1]	[5, 4, 2, 0]	[0.591, 0.182, 0.182, 0.045]	[0.727, 0.0, 0.182, 0.091]	[0.455, 0.364, 0.182, 0.0]	1	1	0	0.5001783381319931	1	3	1	3	2.8	2.4545454545454546	2.4754901960784315	
formiddagen	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0	
frakk	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	4.0	4.0	4.0	
gress	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.7261904761904763	4.0	3.900990099009901	
horisont	1929-1965_1970-2015	22	11	11	[13, 5, 3, 1]	[7, 0, 3, 1]	[6, 5, 0, 0]	[0.591, 0.227, 0.136, 0.045]	[0.636, 0.0, 0.273, 0.091]	[0.545, 0.455, 0.0, 0.0]	1	1	1	0.6415727523011489	1	3	1	3	2.6666666666666665	2.8191489361702127	2.39	
husrom	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.977272727272727	3.9895833333333335	3.9761904761904763	
