lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
mening	NN	1929	1929-1965	1929-1965_mening_890		Den mening man kunde danne sig om lan6ingßlorholdene der oppe i isen vilde så bli avgjørende for valget av type	4:10	0:111
mening	NN	1929	1929-1965	1929-1965_mening_1442		Drag er det na meningen a klvtte selve Drag BtaBjon inn pa vestsiden av vragsbukta etter at linjen i en tunnel pa 760 m. er nådd kram til sjsen, ved km. 129,3. I tilknytning til BtaBjon, er der korut32tt oppksrt et mindre kaianlegg.	15:23	0:232
mening	NN	1929	1929-1965	1929-1965_mening_1640		* Vi resonnerer ut fra vår natur, hvilket er et bevis på at våre meninger i og for sig ikke betyr så meget. ♦	65:73	0:109
mening	NN	1929	1929-1965	1929-1965_mening_2116		Norge ville efter deres mening bli fritt igjen av sig seiv når Tyskland var slått. Hvad regjeringen mente om dette blev imidlertid holdt hemmelig og det har bare langsomt og indirekte blitt noen klarhet om dette viktige spørsmål.	24:30	0:229
mening	NN	1929	1929-1965	1929-1965_mening_2964		Hans for øvrig ikke naermere utviklede mening på dette punkt må da vaere den, at i og med ndsbeskaffenheten har mennesket i det hele tatt skyld fordi det lar synden råde over det hele menneske og således som åndsvesen dog er kjød.	39:45	0:230
mening	NN	1929	1929-1965	1929-1965_mening_3643		Der kommer noen små rykk rundt den veke munn. «Å, det er snart inga mening ti det,» hvisker hun brutt. «Tenkte du å reise ut?» spør jeg lavt. «Å, je har tenkt på mangt,» svarer hun med dyp, sår stemme. Hun står lenet op mot veggen og ser ned på sin fot, som hun vugger frem og tilbake, mekanisk.	68:74	0:295
mening	NN	1929	1929-1965	1929-1965_mening_974		Det var altsammen som noget av den store mening med os herneden.	41:47	0:64
mening	NN	1929	1929-1965	1929-1965_mening_3651		Da så Guri plutselig op og bent på ham. «Je trudde det var meninga di dét,» svarte hun. Han så ned. «Du vet goidt å meninga mi er,» sa han; han satt og så ned på sin fot. Hun flyttet garnvinden og Ia nøstet fra sig. «Ja, men det kainn je itte,» svarte hun sterkt og reiste sig. Han blev sittende, men så nu op. «Åffør itte da?» spurte han. Hun bandt sitt tørklae som skulde hun ut. «For det je har lovd mei bort,» svarte hun Esten Sømåen bråreiste sig. «Åkken åt?» — det kom som et hugg. Guri blev helt en annen der hun stod og vilde frem; der var noe vilt som av kvitørn over henne. «Åt 'm Paer Halstensen!» svarte hun. Esten Sømåen skiftet let. «Åt honnom,» sa han, så et øieblikk bort på henne, snudde sig så og gikk langsomt ramnstrappen ned. «Je vart alene att leil da,» sa han lavt og brutt. «Å, det er itte farlé me dei!» kom det efter ham der oppe fra. «Det er nokk tå dom, som —» stemmen hennes knakk.	59:66	0:910
mening	NN	1929	1929-1965	1929-1965_mening_1216		Ffirst vell «len siste setning gikk bans mening tullstenllig op tar berme.	41:47	0:74
mening	NN	1929	1929-1965	1929-1965_mening_4969		Det var som en stille avtale mellom oss at spørsmålet først skulle opptas til høsten med november, når mitt års betenkningstid var løpt ut. Men meningen at jeg da ville gi ham mitt ja, lå liksom i luften. Jeg vet ikke hva jeg kan ha tenkt eller følt i tiden utover, eftersom det avgjørende naermet seg; men min trang og tilflukt ble bare hver dag ivrigere å skrive og beskrive alt i brevene hjemover, så dere kunne og måtte innse at her var tale om alt annet enn å seige seg for en prestegard!	144:152	0:493
