lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
virus	NN	1980	1980-1990	1980-1990_virus_36		Det er viktig at en person som skal arbeide med å slutte å bruke stoff ikke blir smittet av et potensielt dødelig virus som kan redusere motivasjonen.	114:119	0:150	15542	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_1421		Det skjedde heller ikke i dette tilfellet. Det var en lokal lege som først fastslo at magesyken skyldtes et virus.	108:113	0:114	15550	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_943		Så langt har den nye varianten vaert i mindretall i Norge, og det er usikkert i hvilket omfang den vil sirkulere denne sesongen. - Hvilket virus som vil dominere i årets influensautbrudd, og hvor stort det vil bli, er det ennå ikke mulig å forutsi, sier seniorforsker Olav Hungnes som leder laboratorieovervåkingen av influensa ved Folkehelseinstituttet.	138:143	0:353	15556	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_1083		I Europaparlamentet var det denne uken tverrpolitisk kritikk av unionens respons på epidemien. Fremdeles er det enorme mangler i helsevesenet i en rekke fattige land. Globalisering, enklere reisemuligheter, urbanisering og dårlig hygiene, gir stor fare for rask spredning av virus.	275:280	0:281	15540	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_28		Alle mennesker utsettes daglig for angrep av mange forskjellige bakterier og virus.	77:82	0:83	15560	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_15		Fjerner jern og mangan og Ved dårlig dimensjonog estetisk kvalitet reduserer innholdet av ering og drift vil jern c bakterier og virus. mangan felles ut i anlegg ering og drift vil jern og mangan felles ut i abonnentenes ledningsnett.	129:134	0:234	15555	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_9		Det genetiske grunnlaget som en rekke økonomisk viktige vekster idag bygger på er ofte så spinkelt at sårbarheten overfor insektangrep og sykdommer er stor. Ettersom stadig flere former for insekter, bakterier og virus som angriper nyttevekster utvikler motstandsdyktighet mot kjemiske plantevernmidler, blir behovet for utvikling av nye nyttevekstformer stadig større.	213:218	0:369	15544	nor_dia_change_subset2	no	andrey
virus	NN	2012	2012-2019	2012-2019_virus_2373		Svin og fugl har store lagre av genetisk variasjon, mens hester og hunder historisk har hatt langt faerre, og ikke overført virus til mennesker. Studien er utført i Sør-Kina, blant hunder som ble holdt som kjaeledyr, og møtte hos veterinaer med luftveissymptomer.	123:128	0:260	15546	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_12		Når det gjelder uttrykket «stoff», omfattes også bakterier, virus og enzymer.	60:65	0:77	15548	nor_dia_change_subset2	no	andrey
virus	NN	1980	1980-1990	1980-1990_virus_23		Seiv om forkjølelse skyldes virus (med senere mulighet for bakterielle sekundaerinfeksjoner), bidrar luftforurensning både til hyppigheten og alvorsgraden av denne kortvarige, men svaert plagsomme lidelsen.	28:33	0:204	15549	nor_dia_change_subset2	no	andrey
