lemma	change_binary	change_binary_gain	change_binary_loss	change_graded	EARLIER	LATER	COMPARE
stryk	1	1	1	1.0000	4.0000	3.2273	1.0155
kanal	1	0	1	0.7345	1.7935	3.6875	1.9630
kode	1	1	1	0.7261	2.8636	2.3878	2.1717
oppvarming	1	1	0	0.7232	4.0000	2.5000	2.5694
innstilling	1	1	0	0.6554	4.0000	2.1765	2.4159
tavle	1	0	1	0.6554	2.8571	3.4375	2.3932
fane	1	1	0	0.6151	2.5714	2.4455	2.2727
strøm	1	0	1	0.6139	2.4184	2.6800	1.8879
nett	0	0	0	0.4003	2.9848	3.5300	2.4830
sky	0	0	0	0.3287	3.1806	3.8953	3.4819
moment	0	0	0	0.3122	3.9608	2.7941	3.3619
vindu	0	0	0	0.3122	4.0000	2.9468	3.5047
spill	0	0	0	0.2398	2.4904	3.0303	2.6703
side	0	0	0	0.2379	2.7347	2.9423	2.8761
fjær	0	0	0	0.2278	3.3816	3.8077	3.4031
kohort	0	0	0	0.2168	4.0000	3.4896	3.6085
virus	0	0	0	0.2168	4.0000	3.5769	3.7546
bank	0	0	0	0.0000	4.0000	4.0000	4.0000
bystyrerepresentant	0	0	0	0.0000	4.0000	4.0000	4.0000
driftsregnskap	0	0	0	0.0000	4.0000	4.0000	4.0000
kjøpepress	0	0	0	0.0000	3.1731	4.0000	3.3696
kreft	0	0	0	0.0000	4.0000	4.0000	4.0000
mappe	0	0	0	0.0000	3.7549	3.4271	3.2613
melding	0	0	0	0.0000	3.9362	3.9700	3.9404
melk	0	0	0	0.0000	4.0000	4.0000	4.0000
overflate	0	0	0	0.0000	3.4255	2.8800	3.2624
papir	0	0	0	0.0000	3.4271	3.4216	3.4771
rådgiver	0	0	0	0.0000	3.9712	4.0000	3.9817
særforbund	0	0	0	0.0000	4.0000	4.0000	4.0000
storby	0	0	0	0.0000	4.0000	4.0000	4.0000
syden	0	0	0	0.0000	4.0000	3.9727	4.0000
tendens	0	0	0	0.0000	4.0000	3.9808	4.0000
terror	0	0	0	0.0000	3.6538	4.0000	3.8160
test	0	0	0	0.0000	4.0000	3.6909	3.8458
tjener	0	0	0	0.0000	3.8684	3.9643	3.7685
utakt	0	0	0	0.0000	3.6765	3.5714	3.7500
virkelighet	0	0	0	0.0000	3.7245	3.5784	3.6532
