identifier	cluster
2012-2019_moment_1636	0
1980-1990_moment_492	0
1980-1990_moment_275	0
2012-2019_moment_2108	0
2012-2019_moment_734	0
1980-1990_moment_1016	0
1980-1990_moment_1640	0
2012-2019_moment_296	0
2012-2019_moment_1931	0
1980-1990_moment_839	0
1980-1990_moment_775	0
1980-1990_moment_1243	0
2012-2019_moment_1307	0
2012-2019_moment_53	0
2012-2019_moment_1438	0
1980-1990_moment_1462	0
1980-1990_moment_1220	0
1980-1990_moment_1632	0
1980-1990_moment_103	0
2012-2019_moment_529	0
2012-2019_moment_2591	1
2012-2019_moment_2849	2
