identifier	cluster
2012-2019_driftsregnskap_13	0
2012-2019_driftsregnskap_21	0
1980-1990_driftsregnskap_70	0
2012-2019_driftsregnskap_3	0
1980-1990_driftsregnskap_71	0
2012-2019_driftsregnskap_19	0
2012-2019_driftsregnskap_8	0
2012-2019_driftsregnskap_12	0
2012-2019_driftsregnskap_18	0
1980-1990_driftsregnskap_116	0
1980-1990_driftsregnskap_131	0
1980-1990_driftsregnskap_48	0
1980-1990_driftsregnskap_101	0
2012-2019_driftsregnskap_2	0
2012-2019_driftsregnskap_20	0
1980-1990_driftsregnskap_128	0
2012-2019_driftsregnskap_10	0
1980-1990_driftsregnskap_89	0
1980-1990_driftsregnskap_28	0
2012-2019_driftsregnskap_11	0
1980-1990_driftsregnskap_85	0
1980-1990_driftsregnskap_41	0
