identifier	cluster
1980-1990_innstilling_667	0
1980-1990_innstilling_4055	0
1980-1990_innstilling_1462	0
1980-1990_innstilling_776	0
1980-1990_innstilling_863	0
1980-1990_innstilling_6601	0
1980-1990_innstilling_356	0
1980-1990_innstilling_6230	0
1980-1990_innstilling_5821	0
1980-1990_innstilling_1389	0
1980-1990_innstilling_4422	0
2012-2019_innstilling_10963	2
2012-2019_innstilling_4982	0
2012-2019_innstilling_5684	0
2012-2019_innstilling_11079	1
2012-2019_innstilling_7195	2
2012-2019_innstilling_10881	1
2012-2019_innstilling_10539	1
2012-2019_innstilling_11950	0
2012-2019_innstilling_6310	0
2012-2019_innstilling_9933	3
2012-2019_innstilling_7173	1
