identifier	cluster
1980-1990_kjøpepress_14	0
1980-1990_kjøpepress_12	0
1980-1990_kjøpepress_7	0
1980-1990_kjøpepress_0	0
1980-1990_kjøpepress_4	0
1980-1990_kjøpepress_10	0
1980-1990_kjøpepress_8	0
1980-1990_kjøpepress_5	0
1980-1990_kjøpepress_13	0
1980-1990_kjøpepress_9	0
1980-1990_kjøpepress_1	0
2012-2019_kjøpepress_118	0
2012-2019_kjøpepress_269	0
2012-2019_kjøpepress_141	0
2012-2019_kjøpepress_307	0
2012-2019_kjøpepress_133	0
2012-2019_kjøpepress_94	0
2012-2019_kjøpepress_161	0
2012-2019_kjøpepress_97	0
2012-2019_kjøpepress_109	0
2012-2019_kjøpepress_206	0
2012-2019_kjøpepress_62	0
