identifier	cluster
1980-1990_spill_124	2
1980-1990_spill_42	0
1980-1990_spill_471	0
1980-1990_spill_258	0
1980-1990_spill_516	1
1980-1990_spill_484	0
1980-1990_spill_198	0
1980-1990_spill_581	1
1980-1990_spill_417	0
1980-1990_spill_549	0
1980-1990_spill_599	0
2012-2019_spill_53847	0
2012-2019_spill_35529	0
2012-2019_spill_45731	0
2012-2019_spill_56563	1
2012-2019_spill_22770	-1
2012-2019_spill_38032	0
2012-2019_spill_30064	-1
2012-2019_spill_27416	0
2012-2019_spill_1641	0
2012-2019_spill_9390	0
2012-2019_spill_40442	0
