lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
fjær	NN	1980	1980-1990	1980-1990_fjær_7		2.2.2 Dyner og 'puter. Fyllmateriale av dun og fjaer blir fremdeles mye brukt, men også kunstfibrer, først og fremst polyesterfibrer er meget vanlig.	47:52	0:149
fjær	NN	1980	1980-1990	1980-1990_fjær_5		Dog også dette er mildt og godt, der er lise og fred i bølger og brott og lykke for øiet i havets blått. Livet har ting så lette som fjaer og dyp som i fred kommer døden naer. 81 Nypetornen i gjaerdet står nu så veldig i hvidt at den dekker det svarte skjaeret og havgapet milevidt. Det er kun en sommeruke, så ser jeg fra samme sten som gjennem en apen luke et brott bak hvereneste gren!	133:138	0:388
fjær	NN	1980	1980-1990	1980-1990_fjær_6		Jeg synes jeg er som en duvende fjaer JORDENS DRØM Vesteråsbukten	32:37	0:65
fjær	NN	1980	1980-1990	1980-1990_fjær_2		Det er imidlertid ofte vanskelig å avgjøre kollisjonstidspunktet ettersom fjaer i snø synes å holde seg "ferske" over en viss tid. Undersøkelsesområdet ligger i et attraktivt utfartsterreng med relativt mange fritidsboliger.	74:79	0:224
fjær	NN	1980	1980-1990	1980-1990_fjær_15		- Frem sprengte så greven av Provence, med fjaer i baretten og den vide grevekåpe langt utover den veldige hests sider. «Hill, hill greven av Provence - hill, hill Daniel Falbe!» - Greven av Provence vinket med sin behanskede hand og red statelig ut av Herbygårdens port, og ved hans side red den unge Raimund av Lusignan - ennu med den røde nellik under ansiktet.	43:48	0:364
fjær	NN	1980	1980-1990	1980-1990_fjær_10		Baerumsjegerne fikk en laerkask med et smalt messingbånd til nedre kant og riflet og fliket messingskilt i fronten og en grønn, tvunnet fjaer som en «kam», langs pullen .	136:141	0:170
fjær	NN	1980	1980-1990	1980-1990_fjær_11		Ved senere avbrenning av hydraulikkrøret har så ventilen stengt ved hjelp av den innebygde fjaer aktiverte returmekanismen. 2. Ventilen er blitt åpnet ved en feiltakelse fra kontrollrommet, men resatt umiddelbart etterpå.	91:96	0:221
fjær	NN	1980	1980-1990	1980-1990_fjær_1		De kan fortelle gjestene mye om vårt lands fjaerne og naere historie og om grunnlaget for dagens norske velferdssamfunn.	43:50	0:120
fjær	NN	1980	1980-1990	1980-1990_fjær_14		- Hvem visste hvad tiden gav - en gang når Rikka Gan kom tilbake - - pauker og trommer, Rikka Torsen, - menn på hvite hester og fruer med flagrende fjaer - - fakler og blomster høit omkring Gan - og silkebetrukne vegger. - Hvad er umulig, Rikka Torsen, for den, som er sterk, den som har vilje, skjønnhet, ungdom og list? - List som en slange imellem torner.	148:153	0:358
fjær	NN	1980	1980-1990	1980-1990_fjær_13		I 1976 var avtalen med kommunen oppfylt, og Vellet kunne sette enda en fjaer i hatten. Fra da av har opgaven bare vaert å få supplerende belysning på enkelte mørke steder, samt å varsle e-verket om utbrente lamper.	71:76	0:214
fjær	NN	1980	1980-1990	1980-1990_fjær_9		Ser vi også på gamle Baerumsjegerne i grev Wedels tid hadde stas&lt; hodeplagg, laerkask med grønn fjaer bilder av festligheter på Baerums Verk, ser vi enkelte uniformerte personer som må vaere offiserer.	99:104	0:204
fjær	NN	2012	2012-2019	2012-2019_fjær_343		Den eller de som utførte udåden er ennå ikke tatt. Fenerbahce vant kampen 2-1. Den mektige hjemmebanen Sükrü Saracoglu var et vilt kok. Vinner serien Seieren var en fjaer i hatten for laget på Asia-siden av Istanbul. Galatasaray vinner likevel den tyrkiske serien med klar margin.	165:170	0:280
fjær	NN	2012	2012-2019	2012-2019_fjær_629		Det er jo en fjaer i hatten til oss, nå som sponsoravtaler svikter hos andre kulturinstitusjoner.	13:18	0:97
fjær	NN	2012	2012-2019	2012-2019_fjær_847		Det lå ubeskyttet i flere timer, før ei stokkand gikk inn for landing og la seg til å ruge. - Jeg hadde plantet stemor til maidagene, men alt var røsket opp for å gjøre plass til egget. Sist jeg telte lå det åtte egg der, og nå har hun brukt andre planter fra verandaen og sine egne fjaer til å dekke dem til. «Fjaerballer med luft» Nå ligger anda mesteparten av dagen i fred og ro ruger, med utsikt mot friidrettsanlegget og Nidelva. Når klokka naermer seg åtte, tar hun vingene fatt for en kveldstur.	283:288	0:502
fjær	NN	2012	2012-2019	2012-2019_fjær_59		Men for Mazda er det en fjaer i hatten å komme seg så høyt, med noen unntak er vel merket tradisjonelt ikke det vi mest forbinder med lekkert design. Ikke så fint inni heller	24:29	0:174
fjær	NN	2012	2012-2019	2012-2019_fjær_225		Eventuelt rullet i tjaere og fjaer. 1 Fryds Pizza Pluss:	29:34	0:56
fjær	NN	2012	2012-2019	2012-2019_fjær_417		Fjaer fra utrydningstruet fugl brukes i fiskefluer som selges over disk i Norge. Foto: Frank Lervik	0:5	0:99
fjær	NN	2012	2012-2019	2012-2019_fjær_1044		Det førte til at fristen 31. oktober ikke blir møtt, slik Johnson har lovet. * Torsdag kom Johnsons beskjed om at han ønsker valg 12. desember. Mistet flertallet At flertallet stemte for prinsippene rundt avtalen er en fjaer i hatten for Johnson – det er første gang et flertall har vist seg for noen brexit-avtalen – men det betyr ikke at avtalen nødvendigvis vil gå gjennom i en endelig behandling av lovgivningen rundt det – dersom Johnson går videre med å få gjennom avtalen. Årsaken er at parlamentsmedlemmer da kan se sitt snitt til å legge til endringsforslag for å endre planen, enten til en mykere brexit eller ved at den støttes under forutsetning av at den legges fram for en folkeavstemning og der blir godkjent av folket.	219:224	0:734
fjær	NN	2012	2012-2019	2012-2019_fjær_935		- Dette er en fjaer i hatten, ikke bare for oss, men for hele kultur-Norge.	14:19	0:75
fjær	NN	2012	2012-2019	2012-2019_fjær_192		- Det er en stor fjaer i hatten også for trenere å gjøre det bra her. Resultater er en ting, men måten man spiller på, slik som Norge som gjør, ved å kombinere offensiv kraft og finesse med defensiv organisering, blir lagt merke til, sier Semb. Boble Men Skullerud vil ikke høre snakk om hva som skjer etter EM. - Vi er i boblen her nede, og der skal vi vaere.	17:22	0:360
fjær	NN	2012	2012-2019	2012-2019_fjær_874		Ofte er det mest prestisje i første sesong, så dette er en fjaer i hatten for dem som lager seriene.	59:64	0:100
fjær	NN	2012	2012-2019	2012-2019_fjær_237		- En fjaer i hatten Boligene er tegnet av Tag Arkitekter.	5:10	0:57
