identifier	cluster
1929-1965_operasjon_335	0
1970-2015_operasjon_119	0
1970-2015_operasjon_527	0
1929-1965_operasjon_336	0
1970-2015_operasjon_2541	0
1929-1965_operasjon_110	0
1970-2015_operasjon_3445	0
1929-1965_operasjon_89	0
1970-2015_operasjon_3174	0
1929-1965_operasjon_416	0
1929-1965_operasjon_185	0
1970-2015_operasjon_3086	0
1970-2015_operasjon_155	0
1929-1965_operasjon_333	0
1929-1965_operasjon_3	1
1970-2015_operasjon_2806	1
1929-1965_operasjon_236	1
1970-2015_operasjon_1467	1
1929-1965_operasjon_373	1
1929-1965_operasjon_62	1
1970-2015_operasjon_2118	1
1970-2015_operasjon_795	1
