identifier	cluster
1970-2015_plattform_2299	0
1970-2015_plattform_0	0
1970-2015_plattform_2243	0
1970-2015_plattform_2454	0
1970-2015_plattform_2106	0
1970-2015_plattform_2828	0
1970-2015_plattform_2572	0
1970-2015_plattform_73	0
1970-2015_plattform_2765	0
1929-1965_plattform_51	0
1970-2015_plattform_124	0
1929-1965_plattform_13	1
1929-1965_plattform_24	1
1929-1965_plattform_41	1
1929-1965_plattform_17	1
1929-1965_plattform_29	1
1929-1965_plattform_44	2
1929-1965_plattform_39	2
1929-1965_plattform_48	2
1929-1965_plattform_5	2
1970-2015_plattform_1197	3
