identifier	cluster
1980-1990_melding_2383	0
2012-2019_melding_87584	0
1980-1990_melding_622	0
1980-1990_melding_4271	0
2012-2019_melding_84320	0
2012-2019_melding_94439	0
1980-1990_melding_3944	0
2012-2019_melding_109979	0
2012-2019_melding_55783	0
2012-2019_melding_54522	0
1980-1990_melding_4520	0
1980-1990_melding_2964	0
1980-1990_melding_5172	0
1980-1990_melding_3006	0
2012-2019_melding_60682	0
1980-1990_melding_1834	0
2012-2019_melding_7137	0
2012-2019_melding_69007	0
2012-2019_melding_60297	0
1980-1990_melding_1338	0
1980-1990_melding_2558	0
2012-2019_melding_23650	0
