lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
fag	NN	1929	1929-1965	1929-1965_fag_938		Som nevnt ovenfor under kapitel 11, oppnevnte Kirke- og undervisningsdepartementet, som etter loven av 1907 førte tilsyn med disse skolene, den 2. juli 1914 en komité som fikk som oppgave å utrede spørsmålet om offentlig kontroll med undervisningen i de fag som loven av 1907 krevde opplaering i. Komitéens innstilling ble avgitt 20. september 1915.	254:257	0:349
fag	NN	1929	1929-1965	1929-1965_fag_1455		Om innholdet av de leste (klassiske) forfattere var det ikke tale; hele denne undervisning var formell og skulde tjene hovedfaget, teologien. Denne videnskap, den lutherske dogmatikken, blev innprentet gjennem den stadige kirkegang og—ved de større skoler — ved forelesninger av en høiere geistlig. Hvor det gaves undervisning i sådanne almendannende fag som historie og geografi, skjedde det efter en meget beskjeden målestokk og på latin.	351:354	0:440
fag	NN	1929	1929-1965	1929-1965_fag_894		En kan da gå fram på ymse måter — alt etter som det best høver: 1. En kan gi opplaering i stoff som er felles for hele klassen, og så sørge for individuell rettleiing og øving. 2. En kan dele elevene i klassen i grupper etter deres dyktighet i faget og stille ulike krav til de forskjellige grupper.	13:17	0:299
fag	NN	1929	1929-1965	1929-1965_fag_1028		En har etterhånden funnet det nødvendig å avvike fra dette prinsipp når det gjelder litteraturhistorie. Komiteen har under drøftingen av den fremtidige fagkrets funnet det nødvendig å trekke enda flere støxtefag inn i undervisningen fordi elevene ikke vil kunne få fullt utbytte av en rekke av de rene bibliotekfag uten en elementaer innføring ikke bare i fag som litteraturhistorie? men også sosiologi og vitenskapslaere. Komiteen mener at en også bør endre undervisningsformen ved skolen i noen grad, slik at elevene med passende mellomrom får skriftlige oppgåver av sådan art og omfang at deres evne til selvstudium og fordypelse i stoffet styrkes.	356:359	0:651
fag	NN	1929	1929-1965	1929-1965_fag_825		Ved siden av fransk er historie det fag som har interessert H. mest.	36:39	0:68
fag	NN	1929	1929-1965	1929-1965_fag_214		En bør i undervisningen holde fagets ymse deler sammen slik at elevene får et samlet og levende bilde av Jesus, hans liv og gjerning. 2. Laereren må vaere merksam på at de ulike heimer som elevene kommer fra, representerer forskjellig oppfatning i de spørsmål som blir behandlet i undervisningen i kristendomskunnskap.	30:36	0:318
fag	NN	1929	1929-1965	1929-1965_fag_1041		For at man kan få et begrep om, hvordan den flotteste gard i bygden var utstyrt med hus, hitsettes en beskrivelse fra 1806, da gården blev taksert for assuranse: 1. En stuelån på gårdens nordside, bestående av dagligstue med 5 fag vinduer, innvendig malt gul, blå og hvit; ved siden herav et sengkammer, rødmalt med 2 fag, derved et annet vaerelse med 1 fag, blå vannfarve, der kaltes folkenes stue. Forstue med trapp for opgangen til overvaerelsene, et lite vindu med 6 store ruter. Pa forstuens østside en stue, innvendig blå hvit, 2 fag. Ved den nordre side et spiskammer, 1 fag. Mellem sistnevnte og folkestuen et kjøkken, 1 fag. I dagligstuen en toetasjes jernovn, i sengkamret 1 do. mindre, i folkestuen en enkelt, : : blåstuen en 3-etasjes.	227:230	0:747
fag	NN	1929	1929-1965	1929-1965_fag_1031		En bør dessuten med fordel kunne redusere antallet av eksamener ved å holde felles eksamen for fag som er naer beslektet, f, eks. norsk og uten- landsk bibliografi og katalogisering og klassifikasjon.	95:98	0:200
fag	NN	1929	1929-1965	1929-1965_fag_565		Heimstadlaeren som det sentrale fag gir stoff til samtale og skriftlig arbeid. Tegning, klipping og forming m. m. gir den nødvendige manuelle arbeidsøving.	32:35	0:155
fag	NN	1929	1929-1965	1929-1965_fag_553		Far dyrket dem alle sammen, og Sarsene ble på en måte hans familie også — åndelig og kulturelt følte han seg i slekt med dem. Onkel Ernst og onkel Ossian var hans beste venner så lenge de levde. Far og Ernst var jo i hovedsaken politisk enige og hadde begge både glede og utbytte av samvaeret, og far var en av de ytterst få som kunne snakke fag med Ossian. Sin svigermor forgudet han — hennes frisinn og hennes uvilje mot vanetenkning og byråkratisme passet jo som bestilt til hans innstilling, og hos henne fant han en kjaerlighet og et hjem som han hadde savnet siden barneårene på Frøen og moren døde. Det falt helt selvfølgelig for ham å kalle fru Sars mor, og det gjorde han også i et brev han skrev til henne fra Kjøllefjord da han skulle ut i isen med «Fram»: «Fram, Kjøllefjord, Finmarken 16. juli 1893.	342:345	0:812
fag	NN	1929	1929-1965	1929-1965_fag_864		Ved prøven i støttefag »fiskeribiologi« støter man her på den vanskelighet at N.T.H. vil mangle kom- petente eksaminatorer i dette fag. Da dette støttefag på den fiskeri-teknologiske linje vil ligge naer opp til faggrupper for den marinbiologiske linje vil komiteen anbefale overfor N.T.H. at eksamensprøven i støttefag fiskeribiologi avlegges ved Universitetene i Oslo eller Bergen. C.	131:134	0:386
fag	NN	1970	1970-2015	1970-2015_fag_12912		Voksne kan få vekslet arbeidserfaringer inn i formell kompetanse, ved å få godkjent og dokumentert realkompetansen i ett eller flere fag innenfor et utdanningsprogram.	133:136	0:167
fag	NN	1970	1970-2015	1970-2015_fag_4887		Departementet har utarbeidet: utkast til nye laereplaner for alle fag i grunnskolen nye laereplaner for videregående opplaering ny forskrift for eksamen i fag-/svenneprøve, vurdering, dokumentasjon, klage over karakterer og prøvebedømmelse i videregående opplaering ny rammeplan for førskolelaererutdanning	66:69	0:306
fag	NN	1970	1970-2015	1970-2015_fag_13012		Det sier seg seiv at en bør vaere meget forsiktig med å utarbeide spesielle tilbud som reduserer elevenes obligatoriske fag i de 24 uketimene.	120:123	0:142
fag	NN	1970	1970-2015	1970-2015_fag_16376		Telex: 40 642 nhh n. Telefax: (05)25 83 83. Ansvarsbiblioteket for økonomiske fag. Opprettet: 1936. Leder: Hovedbibliotekar John Egill Steen.	78:81	0:141
