lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
mappe	NN	1980	1980-1990	1980-1990_mappe_13		På nattskiftet ble patruljeringen lagt opp som vanlig bilpatrulje, men med inspeksjon av utvalgte steder til fots. I tillegg til det utstyret som er nevnt foran, ble patruljen også utstyrt med fotokamera, handjern, mappe med diverse verktøy, lykter, alkotest, samt båndspillere.	215:220	0:278
mappe	NN	1980	1980-1990	1980-1990_mappe_7		I stedet har følgende ordning vaert praktisert: Inngående korrespondanse blir vurdert i postmøter med sikte på om dokumentene er offentlige. Dokumenter som er offentlig tilgjengelige, påføres et stempel, og det tas gjenparter av dem. Gjenpartene samles samme dag innen kl. 11.00 i en mappe og stilles til disposisjon for pressefolk eller andre interesserte.	284:289	0:357
mappe	NN	1980	1980-1990	1980-1990_mappe_9		Vedlegg ha fuUt regnskap med utskrift av konto med en redegjørelse for de avheridelser og anbringelser som er skjedd i det forløpne år, og med en oppgave over alle verdipapirer som advokaten har til forvaltning. Gjenpart av de årlige oppgåver som sendes klienten i medhold av denne paragraf, skal oppbevares i egen mappe. § 19 Styret avgjør hvor stor del av fondets kapital som til enhver tid skal holdes i kasse eller settes i bank til dekning av påregnelige utbetalinger.	315:320	0:473
mappe	NN	1980	1980-1990	1980-1990_mappe_8		De dokumenter som er offentlige, stemples og legges i en tilsvarende mappe som for inngående korrespondanse.	69:74	0:108
mappe	NN	1980	1980-1990	1980-1990_mappe_2		På nattskiftet ble patruljeringen lagt opp som vanlig bilpatrulje, men med inspeksjon av utvalgte steder til fots. Patruljen ble utstyrt med fotokamera, håndjern, mappe med diverse verktøy, lykter, alkotest og båndspillere.	163:168	0:223
mappe	NN	1980	1980-1990	1980-1990_mappe_11		På kommunekassererkontoret må kontrollpapirer for vedkommende arbeidsgiver undersøkes og arbeidsgiverens mappe med oppgjørslister, årsoppgaver, korrespondanse, tidligere rapportgjenparter mv. gjennomgås. Følgeskriv	105:110	0:214
mappe	NN	1980	1980-1990	1980-1990_mappe_6		solkafe, foreldrekaffe, besøk på arbeidsplasserog i bassenget osv. har stort sett vaert foreldrenes ansvar. ~/v Postmappa vår er kommet for å bli. Ei god, solid mappe der all post til og fra skole /hjem skal formidles.	161:166	0:218
mappe	NN	1980	1980-1990	1980-1990_mappe_4		Registeret er ordnet Lov om vern mot smittsomme sykdommer slik at det er en egen mappe for hver pasient med relevante personlige opplysninger.	81:86	0:142
mappe	NN	1980	1980-1990	1980-1990_mappe_5		For det enkelte pensjons- og stønadsområdet er det laget en mappe som inneholder forskjellige informasjonsbrosjyrer.	60:65	0:116
mappe	NN	1980	1980-1990	1980-1990_mappe_15		Det finnes heller ingen spesiell mappe til dette bruk.	33:38	0:54
mappe	NN	1980	1980-1990	1980-1990_mappe_12		For hvert foretak føres en saerskilt mappe bestående av ett eller flere blad med fortløpende nummerrekkeføl ge. Hvilke opplysninger handelsregisteret krever for ulike typer foretak tilsvarer i hovedsak hva man forlanger i Norge. Det bør nevnes at "firmaets art" skal oppgis. Dette forstås i Sverige dithen at anmelderen har frihet til å velge mellom en generell formålsbestemmelse eller en presisert angivelse av bransjen.	37:42	0:422
