lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_graded	k1	n1	k2	n2	note
anfektelse	1929-1965_1970-2015	21	10	11	[17, 4]	[10, 0]	[7, 4]	[0.81, 0.19]	[1.0, 0.0]	[0.636, 0.364]	1	0.45957402378585516	1	3	1	3
bit	1929-1965_1970-2015	14	3	11	[10, 4]	[3, 0]	[7, 4]	[0.714, 0.286]	[1.0, 0.0]	[0.636, 0.364]	1	0.45957402378585516	1	3	1	3
bølge	1929-1965_1970-2015	22	11	11	[11, 4, 3, 1, 1, 1, 1]	[6, 1, 0, 1, 1, 1, 1]	[5, 3, 3, 0, 0, 0, 0]	[0.5, 0.182, 0.136, 0.045, 0.045, 0.045, 0.045]	[0.545, 0.091, 0.0, 0.091, 0.091, 0.091, 0.091]	[0.455, 0.273, 0.273, 0.0, 0.0, 0.0, 0.0]	1	0.596221251485971	1	3	1	3
damp	1929-1965_1970-2015	22	11	11	[16, 2, 2, 2]	[6, 2, 2, 1]	[10, 0, 0, 1]	[0.727, 0.091, 0.091, 0.091]	[0.545, 0.182, 0.182, 0.091]	[0.909, 0.0, 0.0, 0.091]	0	0.46363465010916044	1	3	1	3	???
data	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
egg	1929-1965_1970-2015	20	10	10	[18, 2]	[9, 1]	[9, 1]	[0.9, 0.1]	[0.9, 0.1]	[0.9, 0.1]	0	0.0	1	3	1	3
etterforskning	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
fag	1929-1965_1970-2015	22	11	11	[21, 1]	[10, 1]	[11, 0]	[0.955, 0.045]	[0.909, 0.091]	[1.0, 0.0]	0	0.2168328719135303	1	3	1	3
fil	1929-1965_1970-2015	10	3	7	[6, 4]	[0, 3]	[6, 1]	[0.6, 0.4]	[0.0, 1.0]	[0.857, 0.143]	1	0.8302961801327811	1	3	1	3	???
forhold	1929-1965_1970-2015	22	11	11	[13, 5, 3, 1]	[8, 0, 2, 1]	[5, 5, 1, 0]	[0.591, 0.227, 0.136, 0.045]	[0.727, 0.0, 0.182, 0.091]	[0.455, 0.455, 0.091, 0.0]	1	0.553872180710871	1	3	1	3
formiddagen	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
frakk	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
gress	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
horisont	1929-1965_1970-2015	22	11	11	[13, 5, 3, 1]	[7, 0, 3, 1]	[6, 5, 0, 0]	[0.591, 0.227, 0.136, 0.045]	[0.636, 0.0, 0.273, 0.091]	[0.545, 0.455, 0.0, 0.0]	1	0.6415727523011489	1	3	1	3
husrom	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
idiot	1929-1965_1970-2015	20	11	9	[20]	[11]	[9]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
kart	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
katten	1929-1965_1970-2015	19	11	8	[13, 5, 1]	[8, 2, 1]	[5, 3, 0]	[0.684, 0.263, 0.053]	[0.727, 0.182, 0.091]	[0.625, 0.375, 0.0]	0	0.27005569698459203	1	3	1	3
kjemi	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
kloakk	1929-1965_1970-2015	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
landet	1929-1965_1970-2015	22	11	11	[18, 2, 1, 1]	[8, 1, 1, 1]	[10, 1, 0, 0]	[0.818, 0.091, 0.045, 0.045]	[0.727, 0.091, 0.091, 0.091]	[0.909, 0.091, 0.0, 0.0]	0	0.31338553970469046	1	3	1	3
leder	1929-1965_1970-2015	21	10	11	[21]	[10]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3
leilighet	1929-1965_1970-2015	22	11	11	[13, 9]	[2, 9]	[11, 0]	[0.591, 0.409]	[0.182, 0.818]	[1.0, 0.0]	1	0.7962420677263253	1	3	1	3
linse	1929-1965_1970-2015	19	8	11	[10, 9]	[2, 6]	[8, 3]	[0.526, 0.474]	[0.25, 0.75]	[0.727, 0.273]	0	0.413899553656049	1	3	1	3
